"computer_id","user_id","mac_address","ip_address"
"89","10049","f4:36:32:41:56:fd","65.133.16.78"
"90","10050","4f:ff:15:b0:11:12","125.220.237.205"
"91","10051","65:67:b8:f6:9f:f6","149.239.83.248"
"92","10052","48:21:44:cb:a5:80","3.52.195.102"
"93","10053","52:09:f3:de:cb:61","141.169.145.87"
"94","10054","df:83:39:74:ee:c3","203.117.237.77"
"95","10055","27:71:57:cc:d6:a4","129.254.151.186"
"96","10056","cc:b7:27:84:e9:52","44.51.87.109"
"97","10057","13:00:55:94:89:f2","188.88.90.103"
"98","10058","2d:23:bd:fe:84:45","178.157.207.31"
"99","10059","3f:59:14:67:dc:2b","122.177.181.105"
"100","10060","ba:d1:64:ac:08:5d","23.67.170.96"
"101","10061","f1:f4:09:f2:10:16","162.241.180.130"
"102","10062","90:b0:c5:ec:9d:07","105.224.155.160"
"103","10063","8c:db:b2:0c:26:e8","199.195.72.180"
"104","10064","94:5a:a9:c8:82:92","166.230.131.138"
"105","10065","da:95:06:ff:11:73","72.33.10.107"
"106","10066","d2:b5:42:21:32:7e","158.93.202.91"
"107","10067","c8:fb:49:b6:64:bc","199.212.66.138"
"108","10068","78:9b:be:c2:e7:b2","205.1.186.107"
"109","10069","f2:61:cc:4c:a2:30","118.35.104.47"
"110","10070","26:f9:46:6d:17:be","51.97.72.177"
"111","10071","0d:ff:88:9e:00:cb","222.143.210.255"
"112","10072","b5:8e:f9:43:46:d2","199.183.174.16"
"113","10073","4b:96:37:96:c1:f5","153.121.242.98"
"114","10074","80:52:65:1a:54:69","71.76.64.32"
"115","10075","89:35:ff:ba:f7:e8","57.192.96.235"
"116","10076","6e:24:62:fe:a2:e7","37.194.95.163"
"117","10077","12:fd:bd:e6:bb:73","187.0.202.103"
"118","10078","88:00:dd:b0:6a:c8","29.196.146.209"
"119","10079","cf:eb:36:9d:bf:fc","110.47.148.49"
"120","10080","dd:0b:b4:98:3d:3d","131.67.180.147"
"121","10081","49:73:49:ce:3a:1a","156.3.130.22"
"122","10082","43:68:3b:80:0c:a2","158.59.67.219"
"123","10083","81:47:6c:0e:24:8c","218.56.99.21"
"124","10084","07:87:ef:02:f3:97","56.149.243.94"
"125","10085","e4:0f:6f:01:a9:8d","44.182.202.94"
"126","10086","20:d4:2e:fc:ed:ec","109.193.85.80"
"127","10087","dd:b1:9b:50:55:f7","183.118.72.113"
"128","10088","fb:b1:52:45:1e:a8","193.217.156.156"
"129","10089","11:e3:f5:b9:44:1d","170.97.186.145"
"130","10090","37:ac:33:2e:7f:81","158.121.161.10"
"131","10091","07:c8:14:5c:61:96","7.85.23.33"
"132","10092","76:e1:8f:c4:3d:0f","144.161.152.207"
"133","10093","4c:0c:c5:c8:f8:20","13.164.85.87"
"134","10094","d9:5b:02:2f:93:95","220.95.165.56"
"135","10095","f1:62:7a:54:6b:8e","87.54.48.20"
"136","10096","f7:eb:43:9d:22:d9","48.193.40.13"
"137","10097","62:fd:9e:a6:92:ff","170.77.208.149"
"138","10098","a2:df:26:67:05:fb","166.20.149.184"
"139","10099","86:16:c6:89:d3:89","126.39.120.15"
"140","10100","2c:f0:ff:ec:2f:2b","190.168.98.45"
"141","10101","89:11:ce:14:a1:cc","113.235.7.54"
"142","10102","07:cc:a1:68:03:38","185.166.12.32"
"143","10103","f4:1f:e3:b3:43:dd","97.75.158.18"
"144","10104","24:65:04:db:fe:bd","124.215.255.126"
"145","10105","1d:70:03:31:f5:06","90.89.113.206"
"146","10106","43:f5:0c:b8:56:77","205.161.108.173"
"147","10107","37:d6:28:f4:ad:00","43.221.206.234"
"148","10108","0f:f3:c1:b9:a6:00","203.54.251.130"
"149","10109","97:1b:8e:5b:fd:38","61.203.126.228"
"150","10110","65:a5:b1:a7:a7:b0","114.227.127.221"
"151","10111","18:92:e2:af:b3:98","101.191.148.161"
"152","10112","9c:4f:9e:f0:c5:ac","192.123.51.197"
"153","10113","45:57:e7:28:1c:57","67.7.211.247"
"154","10114","f2:44:98:6c:a0:87","110.44.70.138"
"155","10115","19:fc:87:d7:ab:09","150.15.88.200"
"156","10116","78:14:5c:83:7b:b2","14.180.242.143"
"157","10117","8d:1e:7e:e3:de:f7","207.49.168.121"
"158","10118","25:4e:c2:ba:0b:b3","223.13.177.141"
"159","10119","3d:13:9b:25:92:40","54.137.131.144"
"160","10120","95:a3:64:bc:a2:07","36.226.225.135"
"161","10121","6b:39:03:db:11:04","53.76.216.29"
"162","10122","5a:c1:6b:39:f1:5d","199.100.46.194"
"163","10123","88:f0:7b:6d:6b:fb","73.63.3.250"
"164","10124","1e:e5:6c:6f:cc:3b","87.74.24.49"
"165","10125","7e:8b:df:f0:5b:21","172.214.98.225"
"166","10126","66:14:56:6e:c5:b3","52.71.62.59"
"167","10127","43:5d:3d:45:0b:03","129.33.60.108"
"168","10128","ad:ca:c6:dc:a2:1f","139.205.229.140"
"169","10129","ef:99:67:7b:be:ce","186.218.8.232"
"170","10130","8e:f6:60:27:2c:b3","185.240.230.46"
"171","10131","52:5d:f5:c1:54:c3","156.56.115.77"
"172","10132","7d:2d:60:dd:ad:31","144.104.184.107"
"173","10133","fe:b5:1c:0a:b0:74","93.77.158.65"
"174","10134","da:59:ed:1d:ca:51","212.219.42.206"
"175","10135","17:ed:a6:f9:54:42","169.182.164.80"
"176","10136","94:4a:62:07:62:f9","46.77.243.226"
"177","10137","a6:66:37:95:91:08","220.216.147.75"
"178","10138","b2:ed:a0:bf:a8:2c","43.217.177.16"
"179","10139","8a:11:7d:0c:ea:81","41.88.49.137"
"180","10140","ce:64:2f:ba:74:32","85.246.148.157"
"181","10141","c9:c5:6a:b9:8e:f9","11.219.133.139"
"182","10142","6f:c7:4e:60:25:9a","205.93.126.246"
"183","10143","c0:ba:d6:ae:0f:d2","156.84.24.244"
"184","10144","40:d2:c9:ef:d1:5f","215.115.72.18"
"185","10145","6d:3a:50:09:c5:62","83.253.1.36"
"186","10146","3a:69:51:78:4a:8c","13.152.126.120"
"187","10147","bd:0e:c8:c4:04:4b","33.96.66.144"
"188","10148","e9:ac:ab:03:b0:1d","18.89.166.204"
"189","10149","6f:dd:65:23:9e:32","182.222.8.184"
"190","10150","83:67:06:29:e8:71","183.135.5.29"
"191","10151","5c:fd:6a:cf:24:f4","123.14.91.95"
"192","10152","1a:30:8a:0c:dd:95","200.160.171.86"
"193","10153","a6:f5:83:23:32:32","201.126.93.249"
"194","10154","e9:db:7c:4b:c7:cf","150.120.243.249"
"195","10155","b2:61:be:c1:24:1d","140.17.3.47"
"196","10156","99:d6:6a:ab:5e:4e","11.41.87.219"
"197","10157","ec:cb:25:e5:5a:03","117.173.220.233"
"198","10158","bc:3a:fb:a7:44:67","139.72.182.104"
"199","10159","90:03:43:f9:17:2c","50.213.47.194"
"200","10160","f4:e5:7f:eb:4b:5a","174.143.131.26"
"201","10161","2e:81:70:2b:4e:fe","158.118.240.148"
"202","10162","59:29:d8:37:d6:8d","91.128.248.169"
"203","10163","0c:10:c0:85:ad:6b","150.9.5.128"
"204","10164","fd:cb:87:9e:d8:d3","142.127.39.253"
"205","10165","58:9d:6b:12:27:8a","124.230.131.247"
"206","10166","7c:72:fa:0e:54:33","206.248.148.122"
"207","10167","50:54:70:58:08:21","142.248.227.171"
"208","10168","b7:77:06:b2:67:a0","28.208.9.188"
"209","10169","6b:38:36:22:7a:ad","70.136.1.200"
"210","10170","8e:8b:4b:68:a7:e5","174.166.125.207"
"211","10171","37:86:8b:d7:ab:d8","31.59.233.100"
"212","10172","98:de:46:59:d6:43","201.66.164.139"
"213","10173","13:e6:fb:55:ab:58","221.197.179.32"
"214","10174","58:40:b2:c1:4e:96","78.189.150.126"
"215","10175","82:93:b7:9b:35:e5","33.41.95.144"
"216","10176","17:e1:d1:d5:d6:34","78.87.142.63"
"217","10177","dd:05:bc:8b:12:90","53.198.213.184"
"218","10178","86:e0:95:a1:42:df","203.152.82.186"
"219","10179","a3:fa:60:95:c7:d7","54.22.224.117"
"220","10180","de:bc:48:94:c6:2a","83.63.110.21"
"221","10181","b6:be:b2:60:d4:eb","19.67.19.217"
"222","10182","39:07:a3:21:e1:ba","77.158.49.98"
"223","10183","e4:22:86:d5:7b:57","59.92.62.17"
"224","10184","d2:e8:26:ff:a1:53","199.203.74.171"
"225","10185","12:9b:61:4e:24:2f","56.47.160.244"
"226","10186","c9:36:a2:8e:e6:48","113.107.82.66"
"227","10187","11:01:23:7a:59:ff","189.135.26.131"
"228","10188","96:ca:b3:da:e8:bf","104.65.218.82"
"229","10189","2f:4e:9b:1e:ac:78","85.243.48.11"
"230","10190","06:00:58:c9:5b:91","78.164.46.200"
"231","10191","06:98:28:e0:19:3a","150.127.154.21"
"232","10192","b7:14:26:cb:d9:90","149.28.230.40"
"233","10193","13:15:ae:d2:27:6c","203.171.241.37"
"234","10194","67:a6:a3:c6:3a:b6","128.192.47.15"
"235","10195","ac:6e:0e:2b:38:c3","4.129.5.150"
"236","10196","8f:58:cb:39:dd:b9","209.63.248.164"
"237","10197","0a:1a:78:42:09:8a","144.52.58.241"
"238","10198","4e:b7:a7:61:1d:f5","66.47.22.180"
"239","10199","5d:d7:15:0c:0b:ad","45.12.17.73"
"240","10200","a3:f5:7f:12:a8:9f","45.128.137.178"
"241","10201","8f:a7:8e:71:82:f4","101.119.48.36"
"242","10202","dc:a3:9a:28:0b:92","154.130.3.225"
"243","10203","50:bb:35:bc:fd:2c","114.13.7.25"
"244","10204","b9:9c:a3:c0:a4:f6","70.144.245.199"
"245","10205","71:2c:ff:b0:8f:fc","42.25.148.23"
"246","10206","f0:7a:3a:6a:d1:85","85.129.151.143"
"247","10207","ee:e7:a2:6a:d8:fc","14.35.220.201"
"248","10208","3c:2e:5d:61:91:73","58.211.229.249"
"249","10209","64:ab:f1:dc:ec:4e","16.67.213.29"
"250","10210","36:3d:9e:9a:88:d9","134.128.35.180"
"251","10211","ba:c8:d5:31:cf:85","42.158.107.107"
"252","10212","66:dc:c7:4f:3a:32","199.17.49.26"
"253","10213","e1:e1:c3:4f:70:d3","37.235.161.124"
"254","10214","43:5e:24:6d:8e:67","2.84.224.141"
"255","10215","34:0c:e7:5b:d6:b2","214.190.141.194"
"256","10216","a7:44:83:10:d0:65","61.65.51.249"
"257","10217","da:c3:4d:3f:b4:66","99.230.3.206"
"258","10218","60:4f:6c:22:93:f7","78.163.131.63"
"259","10219","60:15:11:cf:25:2e","187.90.105.250"
"260","10220","1e:d7:74:88:4e:b7","144.243.177.239"
"261","10221","5d:81:5c:92:4d:f9","167.5.188.52"
"262","10222","e9:d7:ff:c9:6f:0e","75.227.213.165"
"263","10223","95:42:98:cc:f3:f6","108.127.13.219"
"264","10224","70:e3:0b:7d:18:89","12.158.170.48"
"265","10225","7c:ef:c0:a4:8a:92","89.232.37.157"
"266","10226","c8:f1:41:30:e0:b4","192.96.127.232"
"267","10227","86:f5:26:cf:37:b9","90.170.240.168"
"268","10228","f2:42:93:aa:65:48","108.212.152.55"
"269","10229","35:af:f7:eb:5d:fc","59.138.198.179"
"270","10230","f8:8d:55:03:68:84","172.38.210.176"
"271","10231","fe:bb:dc:54:58:5a","212.234.88.55"
"272","10232","b2:c3:ba:57:61:e6","153.94.184.197"
"273","10233","ad:db:90:a6:bc:66","25.225.249.74"
"274","10234","56:e1:fc:65:a6:12","148.111.107.212"
"275","10235","21:96:82:1e:19:76","186.164.13.102"
"276","10236","36:04:4a:75:7a:a8","173.255.177.148"
"277","10237","7e:3f:13:c5:dc:6f","119.42.176.5"
"278","10238","6f:87:ff:e6:0c:19","159.72.128.41"
"279","10239","f8:57:5e:3f:a6:4b","91.134.189.133"
"280","10240","68:8e:8e:f4:98:f0","215.109.187.95"
"281","10241","49:ce:99:94:af:43","146.60.79.249"
"282","10242","ac:e6:81:3c:78:ee","162.137.205.93"
"283","10243","d4:66:c4:0a:bf:33","124.64.65.131"
"284","10244","c3:ef:cb:88:c3:62","149.165.199.147"
"285","10245","0c:27:85:9a:3c:47","28.241.221.167"
"286","10246","1a:81:cf:72:81:ca","83.41.245.138"
"287","10247","73:0b:a1:3a:82:05","125.23.53.78"
"288","10248","90:c2:e2:28:96:4c","25.61.120.48"
"289","10249","64:8f:83:f8:9e:14","183.197.214.104"
"290","10250","10:5b:f8:62:3e:1e","79.35.226.38"
"291","10251","da:5b:1d:ae:a9:23","63.206.78.27"
"292","10252","1a:ca:d2:cf:9a:23","180.36.1.24"
"293","10253","9b:71:a3:c1:5e:4d","220.114.102.252"
"294","10254","cc:73:8e:44:e7:2c","52.5.209.192"
"295","10255","4d:af:13:05:84:d9","138.79.244.123"
"296","10256","f9:cd:e3:31:69:ef","222.48.95.155"
"297","10257","1e:ff:2a:fa:22:6d","126.187.50.249"
"298","10258","e3:84:1d:6e:bc:17","27.139.235.126"
"299","10259","ba:f0:00:5b:7f:8a","182.138.147.149"
"300","10260","c6:54:ef:ca:50:8e","204.232.134.39"
"301","10261","98:4a:a9:95:48:00","112.117.109.114"
"302","10262","39:15:20:5f:5e:3a","102.201.251.248"
"303","10263","9a:ff:fb:c9:63:29","89.117.87.37"
"304","10264","90:b2:2c:c0:b4:4b","80.157.72.236"
"305","10265","d2:1a:f5:c6:d1:97","142.21.155.39"
"306","10266","15:bd:89:f9:8f:e1","25.72.237.84"
"307","10267","bf:c1:d4:a3:1b:86","65.81.52.75"
"308","10268","43:b3:33:3a:35:18","218.58.0.152"
"309","10269","ff:58:c7:f4:3e:48","43.229.196.93"
"310","10270","01:7e:d6:e9:0d:2c","33.104.244.153"
"311","10271","7f:67:6c:a6:e5:d5","27.115.76.148"
"312","10272","d8:2d:50:f5:82:1b","214.248.88.38"
"313","10273","fe:71:3d:dc:18:79","154.174.251.123"
"314","10274","c9:fc:3c:17:a5:67","192.169.0.183"
"315","10275","a7:43:9a:53:05:d0","187.216.39.89"
"316","10276","f8:ba:06:5e:fc:30","89.107.8.175"
"317","10277","d8:65:1e:d1:e2:8f","192.0.179.82"
"318","10278","b7:d7:8a:99:c6:9a","84.145.171.153"
"319","10279","b4:86:2f:ac:c8:3a","16.172.113.167"
"320","10280","e8:1a:16:bd:bb:0e","115.73.89.253"
"321","10281","b7:1f:a7:f4:ab:a2","213.74.228.104"
"322","10282","29:ae:e7:d7:28:90","20.50.93.132"
"323","10283","9f:b2:72:2e:c7:ef","213.46.76.119"
"324","10284","8f:2b:8a:3b:9d:bd","186.61.59.52"
"325","10285","d8:2a:e5:ae:9f:10","180.73.86.24"
"326","10286","65:8d:76:e5:b4:2a","18.198.64.239"
"327","10287","e3:8c:09:93:08:15","36.157.104.57"
"328","10288","2f:53:d6:23:dd:6d","93.25.189.89"
"329","10289","78:60:00:5a:fb:a3","177.158.162.137"
"330","10290","8c:1b:cb:94:95:6a","146.242.63.233"
"331","10291","76:22:06:97:9b:7c","173.146.143.197"
"332","10292","0c:8e:b2:0e:7e:17","65.247.149.26"
"333","10293","0c:fa:c3:67:12:9c","133.170.47.49"
"334","10294","b1:f4:f0:c4:45:4a","150.86.10.60"
"335","10295","79:16:b7:13:c0:84","22.132.246.154"
"336","10296","68:ee:d3:4d:ed:a5","102.44.248.218"
"337","10297","da:07:25:92:46:33","111.77.6.237"
"338","10298","ad:df:53:c8:30:bd","188.147.4.75"
"339","10299","96:78:56:fd:e8:e5","76.251.116.147"
"340","10300","49:04:95:91:82:ec","71.202.87.248"
"341","10301","5c:6c:ba:b3:49:df","59.126.150.115"
"342","10302","d7:6b:23:1d:6e:99","215.200.50.70"
"343","10303","92:47:d3:0d:d7:5b","118.80.212.88"
"344","10304","78:55:ee:9d:89:16","91.74.56.190"
"345","10305","da:6a:15:e0:a3:bc","14.194.148.73"
"346","10306","c6:32:a6:41:96:5f","214.175.189.78"
"347","10307","7e:68:41:c9:a8:72","151.157.38.217"
"348","10308","75:62:b0:8b:64:ff","218.220.198.51"
"349","10309","62:1a:1a:2d:ad:94","199.193.193.209"
"350","10310","d5:df:29:bc:75:9c","28.241.77.86"
"351","10311","22:36:e1:97:61:e5","170.157.168.214"
"352","10312","bc:39:bd:e3:b1:c5","65.249.104.59"
"353","10313","af:64:55:a5:48:74","212.34.43.63"
"354","10314","5b:5d:b7:df:2f:1a","59.165.178.29"
"355","10315","f5:c5:a4:d6:32:59","53.181.163.44"
"356","10316","ea:37:7d:5d:9e:e6","84.48.43.113"
"357","10317","61:60:f7:c9:0a:77","209.63.140.241"
"358","10318","06:f2:83:7a:dd:4f","173.33.73.79"
"359","10319","3f:ec:2c:d6:3f:63","210.39.198.211"
"360","10320","1c:48:36:5f:6a:14","168.222.69.213"
"361","10321","40:44:94:38:03:78","137.62.222.20"
"362","10322","39:bf:f4:4a:9a:71","58.212.135.48"
"363","10323","8e:26:80:8f:51:62","175.247.156.116"
"364","10324","3f:32:c7:bf:f7:d5","128.78.117.64"
"365","10325","e7:89:4f:f8:9f:4a","170.41.111.164"
"366","10326","c0:dc:7c:b3:37:b7","51.108.165.250"
"367","10327","54:b0:ec:6f:49:48","21.137.161.134"
"368","10328","f8:5c:fe:07:c2:9d","213.207.219.14"
"369","10329","94:48:2b:9e:80:56","88.96.9.13"
"370","10330","0a:9c:62:e3:01:29","165.172.161.68"
"371","10331","b9:d6:49:41:d5:20","121.146.24.91"
"372","10332","d2:08:55:73:35:8a","64.16.21.245"
"373","10333","3b:59:d4:6d:66:4b","88.222.165.238"
"374","10334","4e:85:e0:d4:a0:3d","69.162.68.8"
"375","10335","de:32:a0:2e:19:4c","123.133.0.124"
"376","10336","c4:a5:18:8b:98:14","181.139.218.45"
"377","10337","36:c4:07:52:8b:fa","193.239.235.202"
"378","10338","9f:ed:eb:3d:7f:a3","15.123.86.18"
"379","10339","af:1d:6b:b3:85:f7","2.50.29.233"
"380","10340","22:ab:a0:b2:75:e7","119.215.14.36"
"381","10341","c0:67:49:bc:04:59","164.216.96.127"
"382","10342","9b:96:35:9d:a5:62","11.97.90.105"
"383","10343","fc:5c:56:21:7a:35","8.125.48.11"
"384","10344","ab:49:51:84:56:df","82.149.217.48"
"385","10345","68:6f:29:2a:61:2a","80.40.181.12"
"386","10346","30:bd:41:7c:86:6f","169.168.124.236"
"387","10347","6b:51:cc:a6:95:96","163.112.17.140"
"388","10348","7a:26:34:34:99:52","43.114.116.186"
"389","10349","10:89:18:d2:70:02","213.40.104.98"
"390","10350","19:fd:a0:bb:da:37","6.2.228.230"
"391","10351","7f:4e:84:7e:00:8a","73.59.26.117"
"392","10352","15:8c:99:46:4b:07","59.176.166.71"
"393","10353","29:8e:61:65:93:11","159.39.70.69"
"394","10354","5e:76:d5:f3:3c:6f","68.31.255.31"
"395","10355","22:4e:97:50:fc:5e","218.111.224.89"
"396","10356","3c:59:b3:42:21:be","113.70.51.116"
"397","10357","d5:3a:3f:1a:10:2c","41.253.189.238"
"398","10358","b4:8c:dc:62:53:76","218.180.8.100"
"399","10359","6e:08:8a:22:3a:6c","63.162.124.128"
"400","10360","3f:6c:8b:13:d1:5a","147.167.13.94"
"401","10361","be:1f:75:c3:98:05","155.161.41.8"
"402","10362","c9:37:85:9c:7e:c7","65.117.117.153"
"403","10363","94:30:88:2a:39:50","65.74.227.120"
"404","10364","c9:9b:9b:17:7a:43","156.215.253.98"
"405","10365","d9:0b:cd:06:38:59","140.128.204.186"
"406","10366","65:ba:49:94:f9:cf","103.52.144.30"
"407","10367","7b:30:70:fe:e2:ac","135.166.232.192"
"408","10368","26:75:79:15:20:c1","207.201.180.146"
"409","10369","c1:a0:a1:47:98:1e","125.237.88.96"
"410","10370","35:33:b9:04:03:d8","163.116.32.190"
"411","10371","28:b3:20:e9:a5:06","25.169.106.191"
"412","10372","a9:a9:ce:b5:e6:01","41.91.159.132"
"413","10373","b4:fa:0a:a7:b5:35","165.113.18.233"
"414","10374","f6:d2:05:1b:2e:39","18.111.175.204"
"415","10375","d1:c6:5d:87:b4:63","173.113.167.25"
"416","10376","81:aa:06:ad:67:84","41.103.94.136"
"417","10377","cc:ee:27:af:58:54","13.210.116.228"
"418","10378","97:10:09:64:98:99","101.194.103.12"
"419","10379","6b:0b:50:d2:96:0a","33.81.44.236"
"420","10380","1d:3a:46:7a:25:97","218.143.141.115"
"421","10381","9f:f6:54:89:5c:7c","119.26.232.119"
"422","10382","93:56:bc:d3:b7:c2","173.116.16.224"
"423","10383","bc:47:35:b6:41:50","159.205.181.180"
"424","10384","4a:a5:72:cc:50:4c","215.141.202.196"
"425","10385","9d:b7:2e:a1:91:7b","144.232.93.124"
"426","10386","73:08:27:96:85:2e","40.93.195.18"
"427","10387","9a:32:a7:ab:b6:69","214.255.73.166"
"428","10388","1f:04:ce:58:85:ee","156.52.135.99"
"429","10389","74:c5:9b:37:61:0e","88.119.234.94"
"430","10390","38:c8:f5:c4:d1:64","16.24.104.90"
"431","10391","3f:79:23:f7:0c:c2","109.4.217.121"
"432","10392","90:f7:54:31:47:1f","61.179.211.219"
"433","10393","80:f9:a5:02:13:4b","10.2.15.245"
"434","10394","72:06:3f:e9:9b:7d","192.209.156.167"
"435","10395","44:51:95:2f:4d:03","214.211.16.241"
"436","10396","f6:c3:80:eb:78:a9","80.57.196.82"
"437","10397","41:ec:47:11:44:26","7.188.222.156"
"438","10398","8a:fc:d9:e2:2a:26","215.242.97.103"
"439","10399","70:63:dc:0c:c6:6c","157.154.17.144"
"440","10400","d8:c2:36:d1:40:a1","48.118.56.218"
"441","10401","6e:06:c5:76:43:32","211.211.3.195"
"442","10402","60:15:30:4e:50:73","201.41.11.224"
"443","10403","5b:4a:95:68:5e:7d","65.41.108.22"
"444","10404","80:b3:88:65:4d:12","57.187.101.241"
"445","10405","ae:ae:10:b9:ff:5a","187.44.17.243"
"446","10406","dd:5a:cb:73:74:cd","46.98.152.7"
"447","10407","43:c1:cc:b0:ef:07","115.255.163.117"
"448","10408","9c:43:c5:95:80:b8","49.216.87.153"
"449","10409","ba:0c:33:f4:6f:ca","124.86.8.249"
"450","10410","5e:47:9d:80:c0:10","222.64.86.84"
"451","10411","2b:33:4e:7e:7c:50","199.91.226.226"
"452","10412","dd:7f:33:e2:7d:bd","197.67.115.6"
"453","10413","63:09:f3:3d:f6:c9","89.11.255.14"
"454","10414","52:f5:a1:27:9e:96","153.90.217.122"
"455","10415","57:e1:4d:7f:56:5d","55.4.249.197"
"456","10416","ae:a1:d0:5d:3c:a2","185.117.134.217"
"457","10417","ce:7e:76:96:e5:fd","63.174.248.172"
